ID,x,y
0,36,21
1,2,23
2,29,18
3,14,2
4,15,25
5,6,35
6,20,36
7,10,5
8,33,1
9,3,27
10,16,4
11,36,23
12,8,18
13,13,36
14,27,21
15,28,10
16,33,17
17,2,4
18,18,14
19,29,7
20,20,2
21,36,36
22,10,1
23,3,18
24,35,24
25,15,6
26,27,29
27,20,23
28,6,0
29,1,32
30,18,1
31,12,29
32,8,16
33,18,36
34,32,4
35,15,4
36,18,31
37,9,5
38,32,31
39,12,35
40,31,0
41,8,24
42,12,12
43,1,30
44,30,35
45,23,32
46,1,36
47,7,30
48,35,16
49,21,29
50,5,5
51,3,6
52,22,30
53,18,7
54,11,32
55,29,16
56,34,4
57,7,8
58,35,25
59,25,17
60,5,33
61,8,4
62,7,20
63,31,10
64,3,19
65,23,31
66,14,35
67,25,3
68,3,27
69,24,21
70,23,14
71,16,26
72,31,10
73,12,16
74,19,19
75,17,19
76,35,16
77,2,10
78,3,34
79,1,10
80,14,14
81,13,24
82,30,18
83,4,23
84,34,19
85,34,31
86,16,32
87,22,29
88,34,17
89,6,3
90,31,7
91,5,14
92,34,0
93,2,34
94,23,11
95,25,21
96,8,32
97,26,12
98,17,15
99,9,16
100,29,36
101,25,20
102,12,30
103,20,10
104,13,6
105,15,29
106,23,6
107,0,30
108,7,7
109,20,26
110,6,3
111,33,11
112,17,11
113,36,16
114,1,15
115,10,9
116,2,36
117,15,15
118,25,2
119,18,4
120,34,6
121,15,20
122,19,5
123,5,36
124,15,11
125,29,25
126,33,18
127,1,28
128,23,24
129,34,26
